Timeout,RSSI,Trial Number,Manual Count,Total_Devs
30,85,45,11,28
30,85,45,11,29
30,85,45,11,31
30,85,45,11,32
30,85,45,11,33
30,85,45,11,34
30,85,45,11,33
30,85,45,11,34
10,75,46,0,0
10,75,46,11,3
10,75,46,11,12
10,75,46,11,14
10,75,46,11,12
10,75,46,11,16
10,75,46,11,13
10,75,46,11,14
10,75,46,11,18
10,75,46,11,17
10,75,46,11,14
10,75,46,9,14
10,75,46,9,15
10,75,46,9,14
10,75,46,9,11
10,75,46,11,14
10,75,46,11,13
10,75,46,11,14
10,75,46,11,13
10,75,46,11,9
10,75,46,11,13
10,75,46,11,15
10,75,46,11,15
10,75,46,11,9
10,75,46,11,10
10,75,46,11,14
10,75,46,11,13
10,75,46,11,13
10,75,46,11,14
10,75,46,11,15
10,75,46,11,13
10,75,46,11,14
10,75,46,11,17
10,75,46,11,19
10,75,46,11,24
10,75,46,11,22
10,75,46,11,16
10,75,46,11,15
10,75,46,11,13
10,75,46,11,16
10,75,46,7,12
10,75,46,7,18
10,75,46,7,20
10,75,46,7,20
10,75,46,7,18
10,75,46,7,14
10,75,46,7,15
10,75,46,7,15
10,75,46,7,16
10,75,46,7,17
10,75,46,7,17
10,75,46,7,14
10,75,46,7,10
10,75,46,7,11
10,75,46,7,15
10,75,46,7,16
10,75,46,7,19
10,75,46,7,18
10,75,46,7,17
10,75,46,7,14
10,75,46,7,14
10,75,46,7,16
10,75,46,7,14
10,75,46,7,16
10,75,46,7,15
10,75,46,7,15
10,75,46,7,11
10,75,46,7,15
10,75,46,7,15
10,75,46,7,16
10,75,46,7,13
10,75,46,7,13
10,75,46,7,10
10,75,46,7,18
10,75,46,7,16
10,75,46,7,17
10,75,46,7,17
10,75,46,7,18
10,75,46,7,17
10,75,46,7,14
10,75,46,7,11
10,75,46,7,8
10,65,47,0,0
10,65,47,7,6
10,65,47,7,6
10,65,47,7,5
10,65,47,7,5
10,65,47,7,5
10,65,47,7,6
10,65,47,7,5
10,65,47,7,5
10,65,47,7,4
10,65,47,7,6
10,65,47,7,6
10,65,47,7,7
10,65,47,7,6
10,65,47,7,6
10,65,47,7,7
10,65,47,7,7
10,65,47,7,7
10,65,47,7,7
10,65,47,7,8
10,65,47,7,8
10,65,47,7,6
10,65,47,7,4
10,65,47,7,3
10,65,47,7,5
10,65,47,7,7
10,65,47,7,8
10,65,47,7,8
10,65,47,7,7
10,65,47,7,7
10,65,47,7,7
10,65,47,7,10
10,65,47,7,10
10,65,47,7,8
10,65,47,7,7
10,65,47,7,9
10,65,47,7,9
10,65,47,7,8
10,65,47,7,7
10,65,47,7,6
10,65,47,7,8
10,65,47,7,5
10,65,47,7,13
10,65,47,7,13
10,65,47,7,15
10,65,47,7,11
10,65,47,7,10
10,65,47,7,9
10,65,47,7,7
10,65,47,7,8
10,65,47,7,5
10,65,47,7,4
10,65,47,7,4
10,65,47,7,7
10,65,47,7,8
